CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5799644	11797464	32.96	17597108
2	6912	2989	69.81	9901
3	53094	5619	90.43	58713
4	100856	714099	12.38	814955
5	230121	569832	28.77	799953
6	137953	685688	16.75	823641
7	219213	782089	21.89	1001302
8	447433	819079	35.33	1266512
9	199625	699973	22.19	899598
10	192384	769466	20.00	961850
11	202800	742015	21.46	944815
12	153647	704373	17.91	858020
13	214468	721523	22.91	935991
14	157643	695239	18.48	852882
15	167766	717996	18.94	885762
16	170042	706590	19.40	876632
17	328866	747970	30.54	1076836
18	180933	717701	20.13	898634
19	171211	721399	19.18	892610
20	169759	719202	19.10	888961
21	179292	706712	20.24	886004
22	205048	721677	22.13	926725
23	151975	676866	18.34	828841
24	189142	726400	20.66	915542
25	474322	800670	37.20	1274992
26	189490	698248	21.35	887738
27	165045	687218	19.37	852263
28	170649	697185	19.66	867834
29	187210	689199	21.36	876409
30	184432	700342	20.85	884774
31	444105	769239	36.60	1213344
32	204747	697022	22.71	901769
33	490066	773148	38.80	1263214
34	177402	740028	19.34	917430
35	192214	682620	21.97	874834
36	185402	698034	20.99	883436
37	225515	711038	24.08	936553
38	178048	712419	19.99	890467
39	200674	689706	22.54	890380
40	174893	686478	20.30	861371
41	203779	699066	22.57	902845
42	184965	683013	21.31	867978
43	169986	701935	19.50	871921
44	187997	677857	21.71	865854
45	234579	701022	25.07	935601
46	199233	698866	22.18	898099
47	184459	671341	21.55	855800
48	163457	693810	19.07	857267
49	214972	685435	23.87	900407
50	238292	691563	25.63	929855
51	179396	669029	21.14	848425
52	181445	660422	21.55	841867
53	218195	668650	24.60	886845
54	245682	682636	26.47	928318
55	350373	711683	32.99	1062056
56	184843	655768	21.99	840611
57	203329	668666	23.32	871995
58	191244	673769	22.11	865013
59	210915	647474	24.57	858389
60	194698	652295	22.99	846993
61	253765	675711	27.30	929476
62	205571	665361	23.60	870932
63	340371	687538	33.11	1027909
64	219338	649217	25.25	868555
65	219180	626558	25.92	845738
66	179662	628007	22.24	807669
67	190700	636616	23.05	827316
68	172081	641749	21.14	813830
69	209049	641661	24.57	850710
70	199216	625396	24.16	824612
71	310654	651790	32.28	962444
72	208262	643279	24.46	851541
73	153058	645799	19.16	798857
74	166391	592734	21.92	759125
75	208860	595745	25.96	804605
76	195693	605156	24.44	800849
77	200698	569592	26.05	770290
78	167679	580052	22.43	747731
79	151132	563674	21.14	714806
80	162062	564535	22.30	726597
81	169684	565249	23.09	734933
82	155128	548765	22.04	703893
83	158201	534223	22.85	692424
84	147808	518442	22.19	666250
85	158123	532158	22.91	690281
86	159804	522351	23.43	682155
87	168745	509511	24.88	678256
88	147801	501168	22.77	648969
89	144245	481423	23.05	625668
90	142726	474129	23.14	616855
91	153242	486995	23.94	640237
92	146509	471649	23.70	618158
93	166159	483821	25.56	649980
94	147678	448774	24.76	596452
95	164506	464459	26.16	628965
96	145354	432949	25.13	578303
97	135599	436077	23.72	571676
98	140854	388597	26.60	529451
99	127290	366240	25.79	493530
100	142718	552464	20.53	695182
101	138961	479178	22.48	618139

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	45411	71133	38.96	116544
2	590	138908	0.42	139498
3	214	73444	0.29	73658
4	2619	836449	0.31	839068
5	2209	864747	0.25	866956
6	2538	1247301	0.20	1249839
7	3335	1429504	0.23	1432839
8	6206	1529963	0.40	1536169
9	3178	1286650	0.25	1289828
10	2789	1310403	0.21	1313192
11	2674	1145877	0.23	1148551
12	2605	1176300	0.22	1178905
13	2760	1237291	0.22	1240051
14	2533	1268302	0.20	1270835
15	2467	1180107	0.21	1182574
16	2595	1212855	0.21	1215450
17	5116	1892504	0.27	1897620
18	2589	1249344	0.21	1251933
19	4985	1432663	0.35	1437648
20	3050	1580750	0.19	1583800
21	2603	1187985	0.22	1190588
22	2679	1209780	0.22	1212459
23	2540	1174987	0.22	1177527
24	3897	1760707	0.22	1764604
25	2863	1395712	0.20	1398575
26	2638	1180592	0.22	1183230
27	2423	1176589	0.21	1179012
28	2532	1238195	0.20	1240727
29	3947	1551760	0.25	1555707
30	2446	1218366	0.20	1220812
31	2671	1208441	0.22	1211112
32	3303	1286594	0.26	1289897
33	2836	1235281	0.23	1238117
34	2507	1235909	0.20	1238416
35	2715	1187141	0.23	1189856
36	2695	1196490	0.22	1199185
37	3061	1265348	0.24	1268409
38	2977	1772513	0.17	1775490
39	2477	1219522	0.20	1221999
40	2907	1402950	0.21	1405857
41	2507	1228907	0.20	1231414
42	2478	1148105	0.22	1150583
43	2278	1251084	0.18	1253362
44	2878	1454327	0.20	1457205
45	2517	1234283	0.20	1236800
46	5779	1860830	0.31	1866609
47	2520	1212738	0.21	1215258
48	2761	1277328	0.22	1280089
49	3204	1423331	0.22	1426535
50	4403	2084466	0.21	2088869
51	2664	1236293	0.22	1238957
52	2642	1209883	0.22	1212525
53	2711	1222808	0.22	1225519
54	2988	1226645	0.24	1229633
55	2644	1220061	0.22	1222705
56	2866	1205456	0.24	1208322
57	2922	1286533	0.23	1289455
58	3916	1683726	0.23	1687642
59	2723	1244445	0.22	1247168
60	2691	1209707	0.22	1212398
61	2701	1177789	0.23	1180490
62	2861	1216644	0.23	1219505
63	2678	1183086	0.23	1185764
64	2535	1212721	0.21	1215256
65	2656	1154463	0.23	1157119
66	2875	1224072	0.23	1226947
67	3524	1347433	0.26	1350957
68	3862	1447104	0.27	1450966
69	3346	1386540	0.24	1389886
70	3235	1512814	0.21	1516049
71	2791	1238169	0.22	1240960
72	2779	1200703	0.23	1203482
73	2757	1174761	0.23	1177518
74	2801	1172104	0.24	1174905
75	2702	1150765	0.23	1153467
76	2946	1178263	0.25	1181209
77	2843	1200663	0.24	1203506
78	2784	1133755	0.24	1136539
79	2686	1134356	0.24	1137042
80	2697	1145433	0.23	1148130
81	3138	1246792	0.25	1249930
82	2700	1155630	0.23	1158330
83	3050	1201744	0.25	1204794
84	2761	1128444	0.24	1131205
85	3631	1323592	0.27	1327223
86	3024	1165968	0.26	1168992
87	2910	1176350	0.25	1179260
88	2605	1060816	0.24	1063421
89	2547	1069852	0.24	1072399
90	2734	1074542	0.25	1077276
91	2816	1063992	0.26	1066808
92	2871	1104664	0.26	1107535
93	2674	1031827	0.26	1034501
94	2742	1043385	0.26	1046127
95	2830	1022459	0.28	1025289
96	3057	1019534	0.30	1022591
97	3071	1006980	0.30	1010051
98	2683	874180	0.31	876863
99	1724	623994	0.28	625718
100	1651	663007	0.25	664658
101	2238	843527	0.26	845765

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5969	477699	1.23	483668
2	2447	622234	0.39	624681
3	1615	443249	0.36	444864
4	6702	2099508	0.32	2106210
5	6250	2284648	0.27	2290898
6	5365	2787284	0.19	2792649
7	5348	3007072	0.18	3012420
8	4879	2513366	0.19	2518245
9	5192	2518980	0.21	2524172
10	4667	2527681	0.18	2532348
11	4605	2446731	0.19	2451336
12	4800	2473230	0.19	2478030
13	5444	3066353	0.18	3071797
14	4719	2534621	0.19	2539340
15	5314	2867840	0.18	2873154
