CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	6218168	5794351	51.76	12012519
2	21337	4832	81.54	26169
3	179811	13745	92.90	193556
4	138578	342439	28.81	481017
5	423836	313017	57.52	736853
6	156023	320044	32.77	476067
7	328389	391418	45.62	719807
8	484888	392424	55.27	877312
9	229520	335196	40.64	564716
10	204895	362653	36.10	567548
11	239480	357337	40.13	596817
12	168139	333696	33.50	501835
13	248806	349344	41.60	598150
14	165306	328946	33.45	494252
15	186171	343747	35.13	529918
16	185372	336311	35.53	521683
17	399243	377010	51.43	776253
18	221775	346842	39.00	568617
19	183473	338817	35.13	522290
20	191395	344248	35.73	535643
21	214228	340960	38.59	555188
22	222593	346241	39.13	568834
23	172553	325282	34.66	497835
24	201201	342639	37.00	543840
25	509610	391298	56.57	900908
26	216259	335621	39.19	551880
27	191908	326062	37.05	517970
28	197163	334037	37.12	531200
29	214810	330692	39.38	545502
30	207923	333613	38.40	541536
31	487906	375917	56.48	863823
32	219288	331306	39.83	550594
33	533418	379461	58.43	912879
34	214782	353924	37.77	568706
35	243737	330337	42.46	574074
36	202810	333011	37.85	535821
37	262939	344057	43.32	606996
38	194501	341891	36.26	536392
39	218124	332513	39.61	550637
40	216676	332862	39.43	549538
41	235290	338129	41.03	573419
42	207781	332128	38.48	539909
43	197556	336968	36.96	534524
44	251906	334466	42.96	586372
45	296732	349347	45.93	646079
46	210975	337490	38.47	548465
47	212217	327059	39.35	539276
48	179392	334314	34.92	513706
49	238796	336154	41.53	574950
50	281349	341068	45.20	622417
51	213953	328785	39.42	542738
52	197909	327660	37.66	525569
53	246512	328148	42.90	574660
54	300332	344214	46.60	644546
55	388699	357771	52.07	746470
56	207713	323643	39.09	531356
57	240162	332637	41.93	572799
58	213447	336131	38.84	549578
59	242002	326458	42.57	568460
60	226043	330608	40.61	556651
61	299942	348292	46.27	648234
62	232324	334717	40.97	567041
63	375324	353120	51.52	728444
64	247058	334424	42.49	581482
65	269484	327684	45.13	597168
66	202708	323442	38.53	526150
67	237460	338066	41.26	575526
